Serial,qubits,single_gates,multi_gates,depth
1,8,272,153,305
2,8,266,153,304
3,9,350,211,401
4,8,457,241,431
5,8,463,241,431
6,8,460,241,431
7,8,312,165,333
8,8,312,165,333
9,8,306,165,333
10,16,652,373,662
11,16,649,373,662
12,16,655,373,663
13,11,435,243,453
14,11,435,243,452
15,11,435,243,452
