Serial,qubits,single_gates,multi_gates,depth
1,8,140,63,98
2,8,134,63,97
3,9,190,101,147
4,8,195,99,159
5,8,201,99,159
6,8,198,99,159
7,8,179,75,126
8,8,179,75,126
9,8,173,75,126
10,16,456,239,348
11,16,453,239,348
12,16,459,239,349
13,11,275,133,199
14,11,275,133,198
15,11,275,133,198
16,11,368,214,239
17,11,365,214,239
18,11,362,214,239
