Serial,qubits,single_gates,multi_gates,depth
1,54,385,243,358
2,54,382,243,358
3,54,382,243,358
4,56,401,251,370
5,56,407,251,370
6,56,404,251,370
7,56,405,251,371
8,56,408,251,371
9,56,399,251,371
10,167,1292,903,1303
11,167,1289,903,1303
12,167,1298,903,1303
13,75,565,366,552
14,75,565,366,552
15,75,565,366,552
16,84,601,388,607
17,84,601,388,607
18,84,598,388,607
