Serial,qubits,single_gates,multi_gates,depth
1,8,397,202,374
2,8,385,202,370
3,9,512,286,492
4,8,624,314,534
5,8,636,314,534
6,8,630,314,534
7,8,476,226,430
8,8,476,226,430
9,8,464,226,430
10,16,1079,578,940
11,16,1073,578,940
12,16,1085,578,944
13,11,661,350,590
14,11,661,350,586
15,11,661,350,586
